c,Charity navigator results 1,Location 1,Classification 1,IRS Subsection 1,Cause,Charity navigator results 2,Charity navigator results 3,Charity navigator results 4,Charity navigator results 5,Charity navigator results 6,Charity navigator results 7
Acanthoma,None found,,,,,,,,,,
Adamantinoma,None found,,,,,,,,,,
Adenoacanthoma,None found,,,,,,,,,,
Adenoid cystic carcinoma,Adenoid Cystic Carcinoma Organization International,"LAKE FOREST, CA",Educational Organization,501 (c) (3),,"Adenoid Cystic Carcinoma Research Foundation
NEEDHAM, MA , Fund Raising and/or Fund Distribution",,,,,
Adrenocortical carcinoma,None found,,,,,,,,,,
Adult T-cell leukemia/lymphoma,T Cell Leukemia Lymphoma Foundation,"SEATTLE, WA",Fund Raising and/or Fund Distribution,501 (c) (3),,,,,,,
Aggressive NK-cell leukemia,None found,,,,,,,,,,
Alveolar soft part sarcoma,None found,,,,,,,,,,
Angiosarcoma,Angiosarcoma Awareness Inc.,"Portland, ME",Public Foundations,501(c)(3),,,,,,,
Atypical teratoid rhabdoid tumor,None found,,,,,,,,,,
Bartholin gland carcinoma,None found,,,,,,,,,,
Adenocarcinoma in situ of the lung,LUNGevity Foundation,"Chicago, IL",health,,medical research,,,,,,
Cholangiocarcinoma,Cholangiocarcinoma Foundation,"HERRIMAN, UT",Medical Research N.E.C.,501(c)(3),,"Cholangiocarcinoma Fund Inc. FOSTER CITY, CA, Specifically Named Diseases",,,,,
Chondrosarcoma,Marissa Pogal-Sussman Mesenchymal Chondrosarcoma Researc,"ROCHESTER, NY",Cancer Research,501(c)(3),,,,,,,
Choroid plexus tumor,None found,,,,,,,,,,
Chronic eosinophilic leukemia,None found,,,,,,,,,,
Chronic neutrophilic leukemia,None found,,,,,,,,,,
Clear-cell adenocarcinoma of the vagina,None found,,,,,,,,,,
Clear-cell sarcoma of the kidney,None found,,,,,,,,,,
Collecting duct carcinoma,None found,,,,,,,,,,
Cutaneous T cell lymphoma,T Cell Leukemia Lymphoma Foundation,"SEATTLE, WA",Fund Raising and/or Fund Distribution,501 (c) (3),,,,,,,
Dermatofibrosarcoma protuberans,None found,,,,,,,,,,
Desmoplastic small-round-cell tumor,None found,,,,,,,,,,
Endocrine oncology,None found,,,,,,,,,,
Endodermal sinus tumor,None found,,,,,,,,,,
Ependymoma,Ependymoma Research Foundation,"LEXINGTON, MA",Specifically Named Diseases Research,501(c)(3),,,,,,,
Epithelial-myoepithelial carcinoma,None found,,,,,,,,,,
Epithelial-myoepithelial carcinoma of the lung,LUNGevity Foundation,"Chicago, IL",health,,medical research,,,,,,
Epithelioid hemangioendothelioma,None found,,,,,,,,,,
Esthesioneuroblastoma,None found,,,,,,,,,,
Fallopian tube cancer,None found,,,,,,,,,,
Fibrolamellar hepatocellular carcinoma,None found,,,,,,,,,,
Follicular dendritic cell sarcoma,None found,,,,,,,,,,
Ganglioglioma,None found,,,,,,,,,,
Germinoma,None found,,,,,,,,,,
Gigantiform cementoma,None found,,,,,,,,,,
Gliosarcoma,None found,,,,,,,,,,
Glucagonoma,None found,,,,,,,,,,
Granulosa cell tumour,GRANULOSA CELL TUMOUR RESEARCH FOUNDATION,Canada,cancer research,501(c)(3),,"Granulosa Cell Tumor of the Ovary Foundation, SAN DIEGO, CA, Cancer",,,,,
Hardcastle syndrome,None found,,,,,,,,,,
Heart cancer,Carole Anne Heart Cancer Coalition,"RAPID CITY, SD",Fund Raising and/or Fund Distribution,501(c)(3),,,,,,,
Hemangiosarcoma,None found,,,,,,,,,,
Hepatosplenic T-cell lymphoma,T Cell Leukemia Lymphoma Foundation,"SEATTLE, WA",Fund Raising and/or Fund Distribution,501 (c) (3),,,,,,,
Hereditary breast–ovarian cancer syndrome,None found,,,,,,,,,,
Hodgkin lymphoma,None found,,,,,,,,,,
Howel–Evans syndrome,None found,,,,,,,,,,
Hyalinizing clear cell carcinoma,None found,,,,,,,,,,
Hypopharyngeal cancer,None found,,,,,,,,,,
Insulinoma,None found,,,,,,,,,,
Juvenile myelomonocytic leukemia,None found,,,,,,,,,,
Juxtaglomerular cell tumor,None found,,,,,,,,,,
Kaposi's sarcoma,None found,,,,,,,,,,
Kidney cancer,Kidney Cancer Association,"Chicago, IL",Health,,"Diseases, Disorders, and Disciplines","Southwest Kidney Cancer Foundation
LOCATION: PEARLAND, TX
CLASSIFICATION: Educational Organization
IRS SUBSECTION: 501(c)(3)","Kidney Cancer Coalition Inc.
LOCATION: VIRGINIA BCH, VA
CLASSIFICATION: Fund Raising and/or Fund Distribution
IRS SUBSECTION: 501(c)(3)","Kidney Cancer Research Alliance
LOCATION: ALEXANDRIA, VA
CLASSIFICATION: Public Foundations
IRS SUBSECTION: 501(c)(3)","Action to Cure Kidney Cancer
LOCATION: PLAINVIEW, NY
CLASSIFICATION: Fund Raising and/or Fund Distribution
IRS SUBSECTION: 501(c)(3)","Te Hubbell Kidney Cancer Warrior Institute
LOCATION: UNION GROVE, AL
CLASSIFICATION: Cancer Research
IRS SUBSECTION: 501(c)(3)","Andy Derr Foundation for Kidney Cancer Research
LOCATION: ALLENTOWN, PA
CLASSIFICATION: Fund Raising and/or Fund Distribution
IRS SUBSECTION: 501(c)(3)"
Leiomyosarcoma,National Leiomyosarcoma Foundation,"EAST LANSING, MI",Fund Raising and/or Fund Distribution,501(c)(3),,"Leiomyosarcoma Support & Direct Research Foundation
LOCATION: TULSA, OK
CLASSIFICATION: Biological, Life Science Research
IRS SUBSECTION: 501(c)(3)",,,,,
Leydig cell tumour,None found,,,,,,,,,,
Male breast cancer,Male Breast Cancer Coalition,"EAST HANOVER, NJ",Specifically Named Diseases,,,,,,,,
Malignant acrospiroma,None found,,,,,,,,,,
Malignant rhabdoid tumour,none found,,,,,,,,,,
Mast cell leukemia,The Mast Cell Disease Society Inc.,"STERLING, MA",Educational Organization,,,,,,,,
Mature teratoma,none found,,,,,,,,,,
Merkel-cell carcinoma,none found,,,,,,,,,,
Mesothelioma,Mesothelioma Heroes Foundation,"TINLEY PARK, IL",Educational Organization,,,"National Mesothelioma Foundation
LOCATION: PORTLAND, OR
CLASSIFICATION: Scientific Organization
IRS SUBSECTION: 501(c)(3)","Mesothelioma Applied Research Foundation
Research, education, support, advocacy
LOCATION: Washington, DC
CATEGORY: Health
CAUSE : Medical Research
CFC CODE: 11856","Mesothelioma Research Foundation of America
LOCATION: WESTLAKE VLG, CA
CLASSIFICATION: Fund Raising and/or Fund Distribution
IRS SUBSECTION: 501(c)(3)","George R Brazee Memorial Fund for Mesothelioma Support and Research
LOCATION: MILFORD, MA
CLASSIFICATION: Cancer Research
IRS SUBSECTION: 501(c)(3)",,
Minimally invasive adenocarcinoma of the lung,LUNGevity Foundation,"Chicago, IL",health,,medical research,,,,,,
Mucosal melanoma,none found,,,,,,,,,,
Nesidioblastoma,none found,,,,,,,,,,
NUT midline carcinoma,none found,,,,,,,,,,
Pancreatic neuroendocrine tumor,"Neuroendocrine Tumor Research Foundation
","Boston, MA",health,,"Diseases, Disorders, and Disciplines (Grantmaking/Grants Payable)","North American Neuroendocrine Tumor Society
LOCATION: ALBANY, NY
CLASSIFICATION: Fund Raising and/or Fund Distribution
IRS SUBSECTION: 501(c)(3)",,,,,
Parathyroid carcinoma,none found,,,,,,,,,,
Penile cancer,none found,,,,,,,,,,
Pheochromocytoma,none found,,,,,,,,,,
Pilocytic astrocytoma,none found,,,,,,,,,,
Plasma cell leukemia,none found,,,,,,,,,,
Pleuropulmonary blastoma,none found,,,,,,,,,,
Prefibrotic primary myelofibrosis,none found,,,,,,,,,,
Primary myelofibrosis,none found,,,,,,,,,,
Primitive neuroectodermal tumor,none found,,,,,,,,,,
Richter's transformation,none found,,,,,,,,,,
Sacrococcygeal teratoma,none found,,,,,,,,,,
Salivary gland tumour,none found,,,,,,,,,,
Salivary gland–like carcinoma of the lung,none found,,,,,,,,,,
Sarcoma botryoides,none found,,,,,,,,,,
Sertoli cell tumour,none found,,,,,,,,,,
Sertoli–Leydig cell tumour,none found,,,,,,,,,,
Sinonasal undifferentiated carcinoma,none found,,,,,,,,,,
Somatostatinoma,none found,,,,,,,,,,
Splenic lymphoma with villous lymphocytes,none found,,,,,,,,,,
Squamous-cell thyroid carcinoma,none found,,,,,,,,,,
T-cell lymphoma,T Cell Leukemia Lymphoma Foundation,"SEATTLE, WA",Fund Raising and/or Fund Distribution,501 (c) (3),,,,,,,
Thymic carcinoma,none found,,,,,,,,,,
Thymoma,none found,,,,,,,,,,
Thyroid lymphoma,none found,,,,,,,,,,
Ureteral cancer,none found,,,,,,,,,,
Urethral cancer,none found,,,,,,,,,,
Uterine serous carcinoma,none found,,,,,,,,,,
Uveal melanoma,none found,,,,,,,,,,
VIPoma,none found,,,,,,,,,,
Waldenström's macroglobulinemia,International Waldenstrom's Macroglobulinemia Foundation,"Sarasota, FL",health,Medical research,,,,,,,
Wilms' tumor,none found,,,,,,,,,,